Compound,A-1,A-2,B-1,B-2,C-1,C-2,D-1,D-2,E-1,E-2,F-1,F-2,G-1,G-2,H-1,H-2,I-1,I-2
155,1.98E-05,6.68E-05,0.000120536,5.30E-05,6.17E-05,0.000111605,0.000100521,3.93E-05,7.99E-05,8.88E-05,2.78E-05,5.28E-05,7.34E-05,5.10E-05,0.0001094,5.68E-05,4.39E-05,0.000104534
156,0,0,0,0,0,0,0.000248384,0.000270509,0.000371477,0,0.000273392,0.000138059,5.19E-05,0.000211222,0,0,0.000265973,0.000455504
157,1.44E-05,1.62E-05,8.09E-06,2.58E-05,1.70E-05,1.85E-05,2.97E-06,0,0,0,0,0,2.51E-06,0,2.26E-05,0,0,0
158,0.000121916,0.000114004,0.000103244,8.04E-05,0,7.03E-05,0,0,0,0,0,0,6.32E-06,0,1.39E-05,0,0,0
159,0.000717999,0.000729778,0.000906729,0.000552675,0.000459338,0.000643567,0.001304615,0.000782716,0.000572832,0.000823046,0.000631618,0.000580528,0.000840313,0.000804646,0.00042178,0.000443226,0.000669984,0.000794464
160,0.000138082,7.96E-05,0.000304968,7.42E-05,0.000174808,8.87E-05,4.97E-05,0.000138967,5.21E-05,7.65E-05,7.17E-05,7.67E-05,3.22E-05,3.52E-05,5.41E-05,4.69E-05,0.000122022,0.000167285
161,3.06E-05,3.07E-05,3.59E-05,3.47E-05,2.45E-05,4.01E-05,7.80E-08,2.18E-06,2.11E-06,2.09E-06,4.56E-07,3.25E-06,3.43E-06,1.07E-06,2.69E-06,2.29E-08,0,4.03E-06
162,0,8.19E-07,2.36E-06,1.87E-06,0,1.38E-06,7.52E-05,5.55E-05,4.10E-05,1.89E-05,5.08E-05,3.79E-05,4.14E-05,3.28E-05,2.27E-05,1.20E-05,5.26E-05,5.24E-05
163,0,0,0,0,0,0,0.000453702,0.000205829,0.000264035,0.000264639,7.02E-05,4.30E-05,0.000257747,9.13E-05,0,0.000306805,0.000218454,0.00032837
164,7.38E-05,9.21E-05,0.000111527,0,0.000126522,0.000140001,0.000271802,0.000178223,9.16E-05,0.000226434,0.000237229,0.000183562,0.000212998,0,5.29E-05,0.000209372,0.000186513,0.000200342
165,3.11E-06,3.59E-06,1.96E-06,1.41E-05,1.79E-06,3.48E-06,9.76E-05,7.63E-05,5.19E-05,2.28E-05,6.57E-05,5.88E-05,5.38E-05,5.22E-05,6.72E-05,6.82E-06,5.97E-05,5.62E-05
166,0.000275003,0.000172589,0.000187483,0.000235945,0.000140412,0.000214749,0.000212681,0.000109407,3.29E-05,7.69E-05,4.43E-05,2.91E-05,0.000203741,6.05E-05,0.000105563,5.13E-05,5.78E-05,6.17E-05
167,1.36E-05,1.89E-05,2.37E-05,1.59E-05,1.56E-05,2.44E-05,0.000139224,7.43E-05,6.65E-05,8.00E-05,7.29E-05,4.31E-05,9.15E-05,4.44E-05,4.57E-05,8.27E-05,7.24E-05,5.78E-05
168,0,0,0,0,0,0,3.13E-05,8.81E-06,1.08E-05,6.63E-06,2.01E-05,1.02E-05,1.38E-05,1.49E-05,0,6.38E-06,1.42E-05,1.64E-05
169,2.58E-05,3.98E-05,2.25E-05,4.37E-05,3.80E-05,2.25E-05,2.80E-05,2.41E-05,5.07E-06,1.95E-05,1.27E-05,7.47E-06,2.43E-05,2.31E-05,2.90E-05,1.25E-05,1.59E-05,1.84E-05
170,2.04E-05,2.69E-05,8.20E-05,7.16E-05,6.23E-05,0.000145485,0,6.86E-06,0,0,0,0,0,1.06E-06,8.06E-05,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,8.95E-06,1.38E-05,8.38E-06,5.37E-05,2.14E-05,1.27E-05,3.14E-05,3.36E-05,2.27E-05,3.15E-05,2.32E-05,0,1.39E-05,2.93E-05,1.98E-05
173,0.000140469,0.000187683,0.000171359,9.59E-05,0.000110925,0.000220792,0.000252138,0.000165357,0.000122494,0.000158224,0.000168178,0.000172742,0.000221796,0.000126653,0.000192179,0.000153522,0.000114653,0.000219502
174,2.82E-05,1.34E-05,1.40E-05,1.97E-05,1.02E-05,1.15E-05,0,0,0,0,0,0,2.53E-06,0,2.62E-05,0,0,0
175,0.000135758,0.000174377,0.000248057,0.000191238,0.000137148,0.000145578,0.000216788,0.000176056,9.61E-05,6.96E-05,0.0002304,0.000143284,0.000163316,0.000119732,0.000144826,6.72E-05,0.000266738,0.00015853
